PropertyID,Street,ZestimateDate,ZestimateAmount,SaleDate,SaleAmount,ZestimateOnSaleDate,,Delta of FandG,
23370753, Aurora Ave N ,7/1/2002,"$259,837.00",#N/A,#N/A,#N/A,,,
23375374,N 80th St  ,7/1/2002,"$78,550.00",#N/A,#N/A,#N/A,,,
23391879, Aurora Ave N ,7/1/2002,"$129,563.00",#N/A,#N/A,#N/A,,,
23647432,N 59th St  ,7/1/2002,"$92,074.00",7/5/2006,"$225,000.00","$249,928.00",,,
48651494, WOODLAND PARK AVE N ,7/1/2002,"$346,971.00",9/30/1997,"$230,000.00","$214,206.00",,,
48651495, Woodland Park Ave N ,7/1/2002,"$308,347.00",#N/A,#N/A,#N/A,,,
48651496, Woodland Park Ave N ,7/1/2002,"$318,291.00",#N/A,#N/A,#N/A,,,
48651497,N 41ST ST  ,7/1/2002,"$179,825.00",10/23/2000,"$162,250.00","$152,691.00",,,
48651498,N 41ST ST  ,7/1/2002,"$253,910.00",12/28/2005,"$404,500.00","$362,536.00",,,
48651499, MIDVALE AVE N ,7/1/2002,"$345,792.00",2/21/2002,"$316,000.00","$326,701.00",,,
48651500, MIDVALE AVE N ,7/1/2002,"$341,797.00",7/27/1999,"$285,000.00","$287,453.00",,,
48651501, MIDVALE AVE N ,7/1/2002,"$450,670.00",1/31/2006,"$630,000.00","$619,662.00",,,
48651502, Midvale Ave N ,7/1/2002,"$345,573.00",10/9/2001,"$374,000.00","$309,696.00",,,
48651503, MIDVALE AVE N ,7/1/2002,"$292,512.00",4/28/1997,"$169,000.00","$184,045.00",,,
48651504, MIDVALE AVE N ,7/1/2002,"$346,149.00",2/29/2000,"$290,000.00","$290,370.00",,,
48651505, MIDVALE AVE N ,7/1/2002,"$330,936.00",#N/A,#N/A,#N/A,,,
48651506, MIDVALE AVE N ,7/1/2002,"$356,701.00",10/16/1998,"$260,000.00","$262,485.00",,,
48651507,N 41ST ST  ,7/1/2002,"$293,726.00",5/27/1997,"$160,000.00","$173,003.00",,,
48651967,N 78TH ST  ,7/1/2002,"$302,999.00",8/6/2003,"$300,000.00","$327,772.00",,,
48651968,N 78th St  ,7/1/2002,"$359,016.00",9/7/2001,"$360,000.00","$337,548.00",,,
48651969,N 78TH ST  ,7/1/2002,"$298,430.00",11/3/2005,"$385,000.00","$412,107.00",,,
48651970,N 78th St  ,7/1/2002,"$304,805.00",#N/A,#N/A,#N/A,,,
48651971,N 78TH ST  ,7/1/2002,"$351,965.00",#N/A,#N/A,#N/A,,,
48651972,N 78th St  ,7/1/2002,"$257,463.00",12/22/2006,"$225,000.00","$419,048.00",,,
48651973,N 78th St  ,7/1/2002,"$376,248.00",#N/A,#N/A,#N/A,,,
48651974,N 78th St  ,7/1/2002,"$314,057.00",#N/A,#N/A,#N/A,,,
48651975,N 78TH ST  ,7/1/2002,"$335,070.00",#N/A,#N/A,#N/A,,,
48651976,N 78th St  ,7/1/2002,"$344,992.00",#N/A,#N/A,#N/A,,,
48651977,N 78TH ST  ,7/1/2002,"$310,434.00",7/29/2004,"$404,350.00","$357,279.00",,,
48651978,N 78TH ST  ,7/1/2002,"$372,676.00",#N/A,#N/A,#N/A,,,
48651979,N 78TH ST  ,7/1/2002,"$342,123.00",9/30/1999,"$270,000.00","$271,080.00",,,
48651980,N 78TH ST  ,7/1/2002,"$322,151.00",2/27/1998,"$140,000.00","$185,958.00",,,
48651981,N 78th St  ,7/1/2002,"$270,460.00",#N/A,#N/A,#N/A,,,
48651982,N 78TH ST  ,7/1/2002,"$308,971.00",6/6/2003,"$340,000.00","$315,240.00",,,
48651983,N 78TH ST  ,7/1/2002,"$269,872.00",2/23/2004,"$289,000.00","$299,456.00",,,
48651984,N 78TH ST  ,7/1/2002,"$381,694.00",#N/A,#N/A,#N/A,,,
48651985,N 78TH ST  ,7/1/2002,"$265,162.00",5/2/2003,"$309,950.00","$277,321.00",,,
48651986,N 78th St  ,7/1/2002,"$491,489.00",#N/A,#N/A,#N/A,,,
48651987,N 78TH ST  ,7/1/2002,"$314,996.00",5/9/2003,"$305,000.00","$310,376.00",,,
48651988, DAYTON AVE N ,7/1/2002,"$345,942.00",4/15/2005,"$450,000.00","$459,777.00",,,
48651989, DAYTON AVE N ,7/1/2002,"$332,584.00",#N/A,#N/A,#N/A,,,
48651990, Dayton Ave N ,7/1/2002,"$305,601.00",#N/A,#N/A,#N/A,,,
48651991, Dayton Ave N ,7/1/2002,"$316,002.00",#N/A,#N/A,#N/A,,,
48651992, DAYTON AVE N ,7/1/2002,"$311,733.00",10/2/2003,"$380,000.00","$338,728.00",,,
48651993, DAYTON AVE N ,7/1/2002,"$359,219.00",4/18/2002,"$379,950.00","$336,281.00",,,
48651994, Dayton Ave N ,7/1/2002,"$255,151.00",#N/A,#N/A,#N/A,,,
48652024, Albion Pl N ,7/1/2002,"$193,762.00",#N/A,#N/A,#N/A,,,
48652025, Albion Pl N ,7/1/2002,"$168,192.00",10/7/2004,"$210,000.00","$191,529.00",,,
48652026, Albion Pl N ,7/1/2002,"$163,123.00",#N/A,#N/A,#N/A,,,
48652027, Albion Pl N ,7/1/2002,"$178,020.00",9/2/2004,"$213,000.00","$202,844.00",,,
48652028, Albion Pl N ,7/1/2002,"$224,478.00",6/14/2000,"$181,000.00","$201,758.00",,,
48652029, Albion Pl N ,7/1/2002,"$202,845.00",#N/A,#N/A,#N/A,,,
48652030, Albion Pl N ,7/1/2002,"$211,272.00",1/10/2003,"$200,000.00","$213,974.00",,,
48652031, Albion Pl N ,7/1/2002,"$223,117.00",10/30/1996,"$137,683.00","$135,426.00",,,
48656645,N Allen Pl  ,7/1/2002,"$168,380.00",11/22/2006,"$294,000.00","$265,317.00",,,
48656646,N Allen Pl  ,7/1/2002,"$139,919.00",8/26/1999,"$59,800.00","$116,973.00",,,
48656647,N Allen Pl  ,7/1/2002,"$185,872.00",#N/A,#N/A,#N/A,,,
48656648,N Allen Pl  ,7/1/2002,"$172,088.00",10/31/2000,"$147,500.00","$149,986.00",,,
48656649,N Allen Pl  ,7/1/2002,"$131,790.00",10/31/2005,"$202,000.00","$172,588.00",,,
48656650,N Allen Pl  ,7/1/2002,"$170,898.00",#N/A,#N/A,#N/A,,,
48656651,N Allen Pl  ,7/1/2002,"$192,880.00",#N/A,#N/A,#N/A,,,
48656652,N Allen Pl  ,7/1/2002,"$148,803.00",#N/A,#N/A,#N/A,,,
48656653,N Allen Pl  ,7/1/2002,"$201,219.00",11/25/1998,"$155,000.00","$158,718.00",,,
48656654,N Allen Pl  ,7/1/2002,"$184,214.00",10/19/2006,"$275,000.00","$285,566.00",,,
48656655,N Allen Pl  ,7/1/2002,"$138,087.00",#N/A,#N/A,#N/A,,,
48656656,N Allen Pl  ,7/1/2002,"$183,903.00",5/28/2004,"$193,750.00","$198,868.00",,,
48656657,N Allen Pl  ,7/1/2002,"$193,977.00",#N/A,#N/A,#N/A,,,
48656658,N Allen Pl  ,7/1/2002,"$148,502.00",7/1/2003,"$187,050.00","$152,323.00",,,
48656659,N Allen Pl  ,7/1/2002,"$200,931.00",#N/A,#N/A,#N/A,,,
48656660,N Allen Pl  ,7/1/2002,"$184,018.00",3/17/1999,"$149,950.00","$146,070.00",,,
48656661,N Allen Pl  ,7/1/2002,"$139,347.00",6/1/2001,"$129,950.00","$129,390.00",,,
48656662,N Allen Pl  ,7/1/2002,"$183,625.00",3/26/2004,"$200,000.00","$193,035.00",,,
48656663,N Allen Pl  ,7/1/2002,"$216,659.00",12/12/1996,"$147,900.00","$136,723.00",,,
48656664,N Allen Pl  ,7/1/2002,"$155,302.00",4/30/1998,"$120,000.00","$114,200.00",,,
48656665,N Allen Pl  ,7/1/2002,"$211,697.00",12/4/1998,"$165,000.00","$168,350.00",,,
48656666,N Allen Pl  ,7/1/2002,"$184,832.00",#N/A,#N/A,#N/A,,,
48656667,N Allen Pl  ,7/1/2002,"$143,996.00",2/21/2003,"$138,500.00","$145,977.00",,,
48656668,N Allen Pl  ,7/1/2002,"$186,970.00",4/6/2001,"$174,900.00","$182,117.00",,,
48656669,N Allen Pl  ,7/1/2002,"$108,459.00",#N/A,#N/A,#N/A,,,
48656670,N Allen Pl  ,7/1/2002,"$108,459.00",#N/A,#N/A,#N/A,,,
48661299, Whitman Ave N ,7/1/2002,"$234,810.00",3/25/2002,"$230,000.00","$231,935.00",,,
48661300, Whitman Ave N ,7/1/2002,"$237,642.00",#N/A,#N/A,#N/A,,,
48661301, Whitman Ave N ,7/1/2002,"$259,446.00",1/26/2001,"$224,950.00","$244,337.00",,,
48661302, Whitman Ave N ,7/1/2002,"$267,228.00",#N/A,#N/A,#N/A,,,
48661303, Whitman Ave N ,7/1/2002,"$279,252.00",#N/A,#N/A,#N/A,,,
48661304, Whitman Ave N ,7/1/2002,"$314,517.00",#N/A,#N/A,#N/A,,,
48661305, WHITMAN AVE N ,7/1/2002,"$88,870.00",9/30/1999,"$3,000.00","$69,500.00",,,
48661306, WHITMAN AVE N ,7/1/2002,"$93,328.00",#N/A,#N/A,#N/A,,,
48663077,N 97th St  ,7/1/2002,"$377,714.00",#N/A,#N/A,#N/A,,,
48663078,N 97th St  ,7/1/2002,"$214,437.00",#N/A,#N/A,#N/A,,,
48663079,N 96th St  ,7/1/2002,"$283,371.00",5/20/2003,"$309,950.00","$286,069.00",,,
49140066, PHINNEY AVE N ,7/1/1997,"$147,521.00",1/23/2007,"$1,735,000.00","$449,225.00",,"$1,285,775.00","$1,285,775.00"
48663081,N 96TH ST  ,7/1/2002,"$230,877.00",#N/A,#N/A,#N/A,,,
48663082,N 97th St  ,7/1/2002,"$214,585.00",#N/A,#N/A,#N/A,,,
48663083,N 97TH ST  ,7/1/2002,"$245,277.00",#N/A,#N/A,#N/A,,,
48663084, Aurora Ave N ,7/1/2002,"$636,810.00",#N/A,#N/A,#N/A,,,
48663085,N 97th St  ,7/1/2002,"$298,043.00",#N/A,#N/A,#N/A,,,
48663086, LINDEN AVE N ,7/1/2002,"$234,805.00",8/1/2006,"$399,950.00","$386,135.00",,,
48663087,N 97TH ST  ,7/1/2002,"$237,926.00",7/24/1998,"$166,000.00","$167,988.00",,,
48663088, Linden Ave N ,7/1/2002,"$404,203.00",#N/A,#N/A,#N/A,,,
48663089,N 97TH ST  ,7/1/2002,"$255,330.00",11/27/2006,"$373,750.00","$425,452.00",,,
48663090,N 97TH ST  ,7/1/2002,"$278,413.00",3/3/2006,"$420,000.00","$411,009.00",,,
48663091,N 97th St  ,7/1/2002,"$224,931.00",#N/A,#N/A,#N/A,,,
48663092,N 97th St  ,7/1/2002,"$232,381.00",#N/A,#N/A,#N/A,,,
48663093,N 97TH ST  ,7/1/2002,"$225,021.00",#N/A,#N/A,#N/A,,,
48663094,N 97th St  ,7/1/2002,"$219,259.00",11/28/2006,"$365,000.00","$359,615.00",,,
48663095,N 96TH ST  ,7/1/2002,"$193,704.00",5/18/1998,"$60,000.00","$128,463.00",,,
48663096,N 96TH ST  ,7/1/2002,"$332,956.00",9/4/2002,"$339,950.00","$334,287.00",,,
48920199,N 34TH ST  ,7/1/1997,"$247,886.00",1/30/2007,"$1,530,000.00","$641,184.00",,"$888,816.00","-$642,132.00"
48663098,N 96th St  ,7/1/2002,"$342,688.00",#N/A,#N/A,#N/A,,,
48663099,N 96th St  ,7/1/2002,"$239,502.00",#N/A,#N/A,#N/A,,,
48663100, Linden Ave N ,7/1/2002,"$207,876.00",#N/A,#N/A,#N/A,,,
